label,count,mean_ratio,delta_from_mean,band
Z,64,0.141106,-389.558266,at_or_below_0.25x_mean
\mathbb{Z},66,0.145516,-387.558266,at_or_below_0.25x_mean
f,66,0.145516,-387.558266,at_or_below_0.25x_mean
x,66,0.145516,-387.558266,at_or_below_0.25x_mean
Q,67,0.147721,-386.558266,at_or_below_0.25x_mean
c,67,0.147721,-386.558266,at_or_below_0.25x_mean
q,69,0.152130,-384.558266,at_or_below_0.25x_mean
P,72,0.158745,-381.558266,at_or_below_0.25x_mean
\mathbb{H},72,0.158745,-381.558266,at_or_below_0.25x_mean
7,75,0.165359,-378.558266,at_or_below_0.25x_mean
5,78,0.171973,-375.558266,at_or_below_0.25x_mean
R,83,0.182997,-370.558266,at_or_below_0.25x_mean
O,84,0.185202,-369.558266,at_or_below_0.25x_mean
a,86,0.189612,-367.558266,at_or_below_0.25x_mean
+,90,0.198431,-363.558266,at_or_below_0.25x_mean
9,90,0.198431,-363.558266,at_or_below_0.25x_mean
\frown,90,0.198431,-363.558266,at_or_below_0.25x_mean
\between,94,0.207250,-359.558266,at_or_below_0.25x_mean
\parr,95,0.209455,-358.558266,at_or_below_0.25x_mean
K,96,0.211660,-357.558266,at_or_below_0.25x_mean
\gtrless,97,0.213864,-356.558266,at_or_below_0.25x_mean
\nRightarrow,97,0.213864,-356.558266,at_or_below_0.25x_mean
\varsubsetneq,98,0.216069,-355.558266,at_or_below_0.25x_mean
\L,99,0.218274,-354.558266,at_or_below_0.25x_mean
\multimap,99,0.218274,-354.558266,at_or_below_0.25x_mean
6,100,0.220479,-353.558266,at_or_below_0.25x_mean
>,100,0.220479,-353.558266,at_or_below_0.25x_mean
I,100,0.220479,-353.558266,at_or_below_0.25x_mean
\leftmoon,100,0.220479,-353.558266,at_or_below_0.25x_mean
\mathscr{E},100,0.220479,-353.558266,at_or_below_0.25x_mean
\ominus,101,0.222684,-352.558266,at_or_below_0.25x_mean
\sphericalangle,103,0.227093,-350.558266,at_or_below_0.25x_mean
J,104,0.229298,-349.558266,at_or_below_0.25x_mean
N,105,0.231503,-348.558266,at_or_below_0.25x_mean
\boxplus,105,0.231503,-348.558266,at_or_below_0.25x_mean
\lhd,105,0.231503,-348.558266,at_or_below_0.25x_mean
\guillemotleft,107,0.235912,-346.558266,at_or_below_0.25x_mean
\barwedge,108,0.238117,-345.558266,at_or_below_0.25x_mean
\dotsc,109,0.240322,-344.558266,at_or_below_0.25x_mean
\mathfrak{M},110,0.242527,-343.558266,at_or_below_0.25x_mean
L,111,0.244732,-342.558266,at_or_below_0.25x_mean
\diamondsuit,111,0.244732,-342.558266,at_or_below_0.25x_mean
\pitchfork,111,0.244732,-342.558266,at_or_below_0.25x_mean
\vartriangle,112,0.246936,-341.558266,at_or_below_0.25x_mean
\circledcirc,113,0.249141,-340.558266,at_or_below_0.25x_mean
<,114,0.251346,-339.558266,0.25x_to_0.5x_mean
\mathcal{G},114,0.251346,-339.558266,0.25x_to_0.5x_mean
\mathcal{U},114,0.251346,-339.558266,0.25x_to_0.5x_mean
\mathfrak{X},115,0.253551,-338.558266,0.25x_to_0.5x_mean
\mathscr{P},115,0.253551,-338.558266,0.25x_to_0.5x_mean
\mp,115,0.253551,-338.558266,0.25x_to_0.5x_mean
G,117,0.257960,-336.558266,0.25x_to_0.5x_mean
-,118,0.260165,-335.558266,0.25x_to_0.5x_mean
1,118,0.260165,-335.558266,0.25x_to_0.5x_mean
\circledast,118,0.260165,-335.558266,0.25x_to_0.5x_mean
\circledR,119,0.262370,-334.558266,0.25x_to_0.5x_mean
3,120,0.264575,-333.558266,0.25x_to_0.5x_mean
M,120,0.264575,-333.558266,0.25x_to_0.5x_mean
8,121,0.266779,-332.558266,0.25x_to_0.5x_mean
\Im,121,0.266779,-332.558266,0.25x_to_0.5x_mean
\boxdot,121,0.266779,-332.558266,0.25x_to_0.5x_mean
\mapsfrom,121,0.266779,-332.558266,0.25x_to_0.5x_mean
\rightleftarrows,123,0.271189,-330.558266,0.25x_to_0.5x_mean
2,124,0.273394,-329.558266,0.25x_to_0.5x_mean
\mathcal{X},124,0.273394,-329.558266,0.25x_to_0.5x_mean
\venus,125,0.275599,-328.558266,0.25x_to_0.5x_mean
\flat,126,0.277803,-327.558266,0.25x_to_0.5x_mean
\mathsection,127,0.280008,-326.558266,0.25x_to_0.5x_mean
\mathscr{F},132,0.291032,-321.558266,0.25x_to_0.5x_mean
\varpropto,132,0.291032,-321.558266,0.25x_to_0.5x_mean
0,133,0.293237,-320.558266,0.25x_to_0.5x_mean
\triangleleft,133,0.293237,-320.558266,0.25x_to_0.5x_mean
C,134,0.295442,-319.558266,0.25x_to_0.5x_mean
\Vdash,135,0.297646,-318.558266,0.25x_to_0.5x_mean
\dots,138,0.304261,-315.558266,0.25x_to_0.5x_mean
\mathscr{D},138,0.304261,-315.558266,0.25x_to_0.5x_mean
\Leftarrow,139,0.306466,-314.558266,0.25x_to_0.5x_mean
\circlearrowright,139,0.306466,-314.558266,0.25x_to_0.5x_mean
\rightrightarrows,139,0.306466,-314.558266,0.25x_to_0.5x_mean
\upharpoonright,139,0.306466,-314.558266,0.25x_to_0.5x_mean
\backsim,141,0.310875,-312.558266,0.25x_to_0.5x_mean
\varoiint,141,0.310875,-312.558266,0.25x_to_0.5x_mean
\fullmoon,142,0.313080,-311.558266,0.25x_to_0.5x_mean
\searrow,142,0.313080,-311.558266,0.25x_to_0.5x_mean
\varkappa,143,0.315285,-310.558266,0.25x_to_0.5x_mean
\nvDash,144,0.317490,-309.558266,0.25x_to_0.5x_mean
\prime,146,0.321899,-307.558266,0.25x_to_0.5x_mean
\varpi,146,0.321899,-307.558266,0.25x_to_0.5x_mean
\rfloor,147,0.324104,-306.558266,0.25x_to_0.5x_mean
\sqcap,147,0.324104,-306.558266,0.25x_to_0.5x_mean
\AE,149,0.328513,-304.558266,0.25x_to_0.5x_mean
\asymp,149,0.328513,-304.558266,0.25x_to_0.5x_mean
\pounds,149,0.328513,-304.558266,0.25x_to_0.5x_mean
\triangleright,151,0.332923,-302.558266,0.25x_to_0.5x_mean
\mathfrak{A},154,0.339537,-299.558266,0.25x_to_0.5x_mean
\lozenge,155,0.341742,-298.558266,0.25x_to_0.5x_mean
\iota,156,0.343947,-297.558266,0.25x_to_0.5x_mean
\mathcal{Z},156,0.343947,-297.558266,0.25x_to_0.5x_mean
A,158,0.348357,-295.558266,0.25x_to_0.5x_mean
\rangle,158,0.348357,-295.558266,0.25x_to_0.5x_mean
\mathcal{B},160,0.352766,-293.558266,0.25x_to_0.5x_mean
\mathcal{R},160,0.352766,-293.558266,0.25x_to_0.5x_mean
\curvearrowright,162,0.357176,-291.558266,0.25x_to_0.5x_mean
\sun,163,0.359381,-290.558266,0.25x_to_0.5x_mean
\Downarrow,164,0.361585,-289.558266,0.25x_to_0.5x_mean
\circlearrowleft,167,0.368200,-286.558266,0.25x_to_0.5x_mean
\coprod,167,0.368200,-286.558266,0.25x_to_0.5x_mean
\trianglelefteq,167,0.368200,-286.558266,0.25x_to_0.5x_mean
\rightsquigarrow,171,0.377019,-282.558266,0.25x_to_0.5x_mean
\female,175,0.385838,-278.558266,0.25x_to_0.5x_mean
\rceil,175,0.385838,-278.558266,0.25x_to_0.5x_mean
\rrbracket,175,0.385838,-278.558266,0.25x_to_0.5x_mean
\doteq,180,0.396862,-273.558266,0.25x_to_0.5x_mean
\longmapsto,181,0.399067,-272.558266,0.25x_to_0.5x_mean
\mathcal{S},183,0.403476,-270.558266,0.25x_to_0.5x_mean
\preccurlyeq,183,0.403476,-270.558266,0.25x_to_0.5x_mean
\amalg,184,0.405681,-269.558266,0.25x_to_0.5x_mean
\mathcal{C},184,0.405681,-269.558266,0.25x_to_0.5x_mean
\mathcal{T},184,0.405681,-269.558266,0.25x_to_0.5x_mean
\nrightarrow,184,0.405681,-269.558266,0.25x_to_0.5x_mean
\uplus,184,0.405681,-269.558266,0.25x_to_0.5x_mean
\mathscr{A},185,0.407886,-268.558266,0.25x_to_0.5x_mean
\cdot,190,0.418910,-263.558266,0.25x_to_0.5x_mean
\Re,193,0.425524,-260.558266,0.25x_to_0.5x_mean
\mathscr{S},193,0.425524,-260.558266,0.25x_to_0.5x_mean
\triangledown,194,0.427729,-259.558266,0.25x_to_0.5x_mean
\diameter,195,0.429934,-258.558266,0.25x_to_0.5x_mean
\mathds{P},198,0.436548,-255.558266,0.25x_to_0.5x_mean
\nsubseteq,199,0.438753,-254.558266,0.25x_to_0.5x_mean
\nearrow,201,0.443162,-252.558266,0.25x_to_0.5x_mean
\succeq,201,0.443162,-252.558266,0.25x_to_0.5x_mean
\mathds{E},202,0.445367,-251.558266,0.25x_to_0.5x_mean
\with,202,0.445367,-251.558266,0.25x_to_0.5x_mean
\mathcal{D},203,0.447572,-250.558266,0.25x_to_0.5x_mean
\downarrow,204,0.449777,-249.558266,0.25x_to_0.5x_mean
\leftarrow,209,0.460801,-244.558266,0.25x_to_0.5x_mean
\mathscr{H},209,0.460801,-244.558266,0.25x_to_0.5x_mean
\rightleftharpoons,209,0.460801,-244.558266,0.25x_to_0.5x_mean
\boxtimes,213,0.469620,-240.558266,0.25x_to_0.5x_mean
\dashv,213,0.469620,-240.558266,0.25x_to_0.5x_mean
\because,215,0.474030,-238.558266,0.25x_to_0.5x_mean
\rightharpoonup,217,0.478439,-236.558266,0.25x_to_0.5x_mean
\mathscr{C},219,0.482849,-234.558266,0.25x_to_0.5x_mean
\ltimes,221,0.487258,-232.558266,0.25x_to_0.5x_mean
\mathcal{M},221,0.487258,-232.558266,0.25x_to_0.5x_mean
\mathds{Q},221,0.487258,-232.558266,0.25x_to_0.5x_mean
\varrho,221,0.487258,-232.558266,0.25x_to_0.5x_mean
\mathfrak{S},222,0.489463,-231.558266,0.25x_to_0.5x_mean
\mars,226,0.498282,-227.558266,0.25x_to_0.5x_mean
\uparrow,227,0.500487,-226.558266,0.5x_to_1x_mean
\aa,231,0.509306,-222.558266,0.5x_to_1x_mean
\O,237,0.522535,-216.558266,0.5x_to_1x_mean
\sharp,237,0.522535,-216.558266,0.5x_to_1x_mean
\subsetneq,237,0.522535,-216.558266,0.5x_to_1x_mean
\iddots,238,0.524740,-215.558266,0.5x_to_1x_mean
\Longleftrightarrow,239,0.526944,-214.558266,0.5x_to_1x_mean
\ss,239,0.526944,-214.558266,0.5x_to_1x_mean
\angle,240,0.529149,-213.558266,0.5x_to_1x_mean
\bowtie,240,0.529149,-213.558266,0.5x_to_1x_mean
\mathcal{H},240,0.529149,-213.558266,0.5x_to_1x_mean
\copyright,241,0.531354,-212.558266,0.5x_to_1x_mean
\longrightarrow,242,0.533559,-211.558266,0.5x_to_1x_mean
\diamond,250,0.551197,-203.558266,0.5x_to_1x_mean
\kappa,250,0.551197,-203.558266,0.5x_to_1x_mean
\dag,251,0.553402,-202.558266,0.5x_to_1x_mean
],259,0.571040,-194.558266,0.5x_to_1x_mean
\backslash,260,0.573245,-193.558266,0.5x_to_1x_mean
\star,260,0.573245,-193.558266,0.5x_to_1x_mean
\sqcup,264,0.582064,-189.558266,0.5x_to_1x_mean
\Bowtie,267,0.588679,-186.558266,0.5x_to_1x_mean
\rtimes,267,0.588679,-186.558266,0.5x_to_1x_mean
\Longrightarrow,270,0.595293,-183.558266,0.5x_to_1x_mean
\clubsuit,273,0.601907,-180.558266,0.5x_to_1x_mean
\shortrightarrow,274,0.604112,-179.558266,0.5x_to_1x_mean
\preceq,277,0.610726,-176.558266,0.5x_to_1x_mean
\checked,279,0.615136,-174.558266,0.5x_to_1x_mean
\vartheta,281,0.619546,-172.558266,0.5x_to_1x_mean
\mathcal{E},282,0.621750,-171.558266,0.5x_to_1x_mean
\ae,286,0.630569,-167.558266,0.5x_to_1x_mean
\sqsubseteq,288,0.634979,-165.558266,0.5x_to_1x_mean
\bullet,290,0.639389,-163.558266,0.5x_to_1x_mean
\fint,296,0.652617,-157.558266,0.5x_to_1x_mean
\astrosun,297,0.654822,-156.558266,0.5x_to_1x_mean
\geqslant,303,0.668051,-150.558266,0.5x_to_1x_mean
\mathds{1},311,0.685689,-142.558266,0.5x_to_1x_mean
\nexists,311,0.685689,-142.558266,0.5x_to_1x_mean
\o,313,0.690099,-140.558266,0.5x_to_1x_mean
\triangle,316,0.696713,-137.558266,0.5x_to_1x_mean
\oiint,318,0.701123,-135.558266,0.5x_to_1x_mean
\},321,0.707737,-132.558266,0.5x_to_1x_mean
\celsius,329,0.725375,-124.558266,0.5x_to_1x_mean
\mathcal{N},329,0.725375,-124.558266,0.5x_to_1x_mean
\ohm,329,0.725375,-124.558266,0.5x_to_1x_mean
\div,335,0.738604,-118.558266,0.5x_to_1x_mean
\mid,336,0.740809,-117.558266,0.5x_to_1x_mean
\top,336,0.740809,-117.558266,0.5x_to_1x_mean
\S,344,0.758447,-109.558266,0.5x_to_1x_mean
\lceil,347,0.765062,-106.558266,0.5x_to_1x_mean
\nmid,348,0.767266,-105.558266,0.5x_to_1x_mean
\wp,356,0.784905,-97.558266,0.5x_to_1x_mean
\parallel,358,0.789314,-95.558266,0.5x_to_1x_mean
\mathcal{A},359,0.791519,-94.558266,0.5x_to_1x_mean
\mathcal{P},361,0.795929,-92.558266,0.5x_to_1x_mean
\succ,362,0.798133,-91.558266,0.5x_to_1x_mean
\|,370,0.815772,-83.558266,0.5x_to_1x_mean
\male,380,0.837820,-73.558266,0.5x_to_1x_mean
\not\equiv,383,0.844434,-70.558266,0.5x_to_1x_mean
\$,387,0.853253,-66.558266,0.5x_to_1x_mean
\nu,391,0.862072,-62.558266,0.5x_to_1x_mean
\blacksquare,392,0.864277,-61.558266,0.5x_to_1x_mean
\mathcal{F},393,0.866482,-60.558266,0.5x_to_1x_mean
\Xi,398,0.877506,-55.558266,0.5x_to_1x_mean
\leqslant,398,0.877506,-55.558266,0.5x_to_1x_mean
\ddots,399,0.879711,-54.558266,0.5x_to_1x_mean
\supseteq,404,0.890735,-49.558266,0.5x_to_1x_mean
\vdots,408,0.899554,-45.558266,0.5x_to_1x_mean
\supset,411,0.906168,-42.558266,0.5x_to_1x_mean
\twoheadrightarrow,415,0.914987,-38.558266,0.5x_to_1x_mean
\mathds{C},417,0.919397,-36.558266,0.5x_to_1x_mean
\lfloor,420,0.926011,-33.558266,0.5x_to_1x_mean
\tau,423,0.932625,-30.558266,0.5x_to_1x_mean
\Lambda,439,0.967902,-14.558266,0.5x_to_1x_mean
\Psi,447,0.985540,-6.558266,0.5x_to_1x_mean
\vDash,453,0.998769,-0.558266,0.5x_to_1x_mean
\Theta,460,1.014203,6.441734,1x_to_2x_mean
\varnothing,460,1.014203,6.441734,1x_to_2x_mean
\models,474,1.045070,20.441734,1x_to_2x_mean
\odot,485,1.069322,31.441734,1x_to_2x_mean
\ni,488,1.075937,34.441734,1x_to_2x_mean
\leftrightarrow,505,1.113418,51.441734,1x_to_2x_mean
|,511,1.126647,57.441734,1x_to_2x_mean
\setminus,514,1.133261,60.441734,1x_to_2x_mean
\hbar,519,1.144285,65.441734,1x_to_2x_mean
\prec,523,1.153104,69.441734,1x_to_2x_mean
/,531,1.170743,77.441734,1x_to_2x_mean
\epsilon,541,1.192791,87.441734,1x_to_2x_mean
\lightning,548,1.208224,94.441734,1x_to_2x_mean
\ast,554,1.221453,100.441734,1x_to_2x_mean
\psi,562,1.239091,108.441734,1x_to_2x_mean
\triangleq,569,1.254525,115.441734,1x_to_2x_mean
\Phi,606,1.336102,152.441734,1x_to_2x_mean
\Gamma,620,1.366969,166.441734,1x_to_2x_mean
\leadsto,624,1.375788,170.441734,1x_to_2x_mean
\omega,630,1.389017,176.441734,1x_to_2x_mean
\gtrsim,641,1.413269,187.441734,1x_to_2x_mean
\theta,650,1.433112,196.441734,1x_to_2x_mean
\hookrightarrow,667,1.470594,213.441734,1x_to_2x_mean
\degree,668,1.472799,214.441734,1x_to_2x_mean
\eta,685,1.510280,231.441734,1x_to_2x_mean
\phi,685,1.510280,231.441734,1x_to_2x_mean
\rho,692,1.525714,238.441734,1x_to_2x_mean
\bot,733,1.616110,279.441734,1x_to_2x_mean
\varepsilon,740,1.631543,286.441734,1x_to_2x_mean
\mathcal{L},743,1.638158,289.441734,1x_to_2x_mean
\AA,757,1.669025,303.441734,1x_to_2x_mean
\langle,761,1.677844,307.441734,1x_to_2x_mean
\aleph,762,1.680049,308.441734,1x_to_2x_mean
\therefore,762,1.680049,308.441734,1x_to_2x_mean
\subset,772,1.702097,318.441734,1x_to_2x_mean
\lesssim,773,1.704301,319.441734,1x_to_2x_mean
\llbracket,773,1.704301,319.441734,1x_to_2x_mean
\Pi,797,1.757216,343.441734,1x_to_2x_mean
\mathscr{L},802,1.768240,348.441734,1x_to_2x_mean
\Omega,821,1.810131,367.441734,1x_to_2x_mean
\neg,843,1.858637,389.441734,1x_to_2x_mean
\vee,861,1.898323,407.441734,1x_to_2x_mean
\mathcal{O},863,1.902732,409.441734,1x_to_2x_mean
\geq,866,1.909347,412.441734,1x_to_2x_mean
\zeta,872,1.922575,418.441734,1x_to_2x_mean
\checkmark,875,1.929190,421.441734,1x_to_2x_mean
\simeq,880,1.940214,426.441734,1x_to_2x_mean
\%,887,1.955647,433.441734,1x_to_2x_mean
\ell,903,1.990924,449.441734,1x_to_2x_mean
\heartsuit,907,1.999743,453.441734,1x_to_2x_mean
\mapsto,914,2.015177,460.441734,2x_to_4x_mean
[,915,2.017381,461.441734,2x_to_4x_mean
\cup,921,2.030610,467.441734,2x_to_4x_mean
\chi,929,2.048248,475.441734,2x_to_4x_mean
\mathbb{1},947,2.087935,493.441734,2x_to_4x_mean
\emptyset,950,2.094549,496.441734,2x_to_4x_mean
\circ,977,2.154078,523.441734,2x_to_4x_mean
\sqrt{},978,2.156283,524.441734,2x_to_4x_mean
\lambda,993,2.189355,539.441734,2x_to_4x_mean
\Delta,995,2.193764,541.441734,2x_to_4x_mean
\mathds{Z},1008,2.222427,554.441734,2x_to_4x_mean
\mathds{N},1013,2.233451,559.441734,2x_to_4x_mean
\leq,1054,2.323847,600.441734,2x_to_4x_mean
\#,1064,2.345895,610.441734,2x_to_4x_mean
\rightarrow,1066,2.350304,612.441734,2x_to_4x_mean
\vdash,1067,2.352509,613.441734,2x_to_4x_mean
\otimes,1074,2.367943,620.441734,2x_to_4x_mean
\cap,1098,2.420858,644.441734,2x_to_4x_mean
\perp,1099,2.423062,645.441734,2x_to_4x_mean
\prod,1112,2.451725,658.441734,2x_to_4x_mean
\sigma,1121,2.471568,667.441734,2x_to_4x_mean
\beta,1130,2.491411,676.441734,2x_to_4x_mean
\{,1135,2.502435,681.441734,2x_to_4x_mean
\gamma,1139,2.511254,685.441734,2x_to_4x_mean
\mu,1146,2.526687,692.441734,2x_to_4x_mean
\oint,1186,2.614879,732.441734,2x_to_4x_mean
\nabla,1216,2.681023,762.441734,2x_to_4x_mean
\Leftrightarrow,1235,2.722914,781.441734,2x_to_4x_mean
\delta,1244,2.742757,790.441734,2x_to_4x_mean
\&,1281,2.824334,827.441734,2x_to_4x_mean
\notin,1305,2.877249,851.441734,2x_to_4x_mean
\oplus,1337,2.947802,883.441734,2x_to_4x_mean
\propto,1382,3.047018,928.441734,2x_to_4x_mean
\cong,1398,3.082294,944.441734,2x_to_4x_mean
\exists,1401,3.088909,947.441734,2x_to_4x_mean
\wedge,1451,3.199148,997.441734,2x_to_4x_mean
\times,1508,3.324821,1054.441734,2x_to_4x_mean
\varphi,1521,3.353483,1067.441734,2x_to_4x_mean
\neq,1526,3.364507,1072.441734,2x_to_4x_mean
\pi,1527,3.366712,1073.441734,2x_to_4x_mean
\pm,1527,3.366712,1073.441734,2x_to_4x_mean
\subseteq,1574,3.470337,1120.441734,2x_to_4x_mean
\Rightarrow,1758,3.876018,1304.441734,2x_to_4x_mean
\Sigma,1907,4.204531,1453.441734,above_4x_mean
\sim,2006,4.422806,1552.441734,above_4x_mean
\approx,2039,4.495564,1585.441734,above_4x_mean
\forall,2138,4.713838,1684.441734,above_4x_mean
\square,2175,4.795415,1721.441734,above_4x_mean
\in,2294,5.057785,1840.441734,above_4x_mean
\mathds{R},2377,5.240782,1923.441734,above_4x_mean
\partial,2411,5.315745,1957.441734,above_4x_mean
\equiv,2516,5.547248,2062.441734,above_4x_mean
\xi,2562,5.648668,2108.441734,above_4x_mean
\alpha,2598,5.728040,2144.441734,above_4x_mean
\infty,2910,6.415934,2456.441734,above_4x_mean
\sum,3393,7.480847,2939.441734,above_4x_mean
\int,3512,7.743217,3058.441734,above_4x_mean
